city_key,city_ko,developer_country,developer_count,app_count,ios_gross_source_revenue_usd,revenue_usd_2025_cn_ios,revenue_basis,downloads_2025_cn_ios,top_developers,top_games,genres,genre_search_text,lon,lat,is_precise_city
Shenzhen,선전,China,78,251,4449732073.53,6229624902.941999,2025 중국 iOS+AOS 추정 순매출,176490888,"深圳市腾讯天游科技有限公司 / 텐센트 톈유, 深圳市腾讯计算机系统有限公司 / 텐센트 컴퓨터, 深圳市禅游科技股份有限公司 / 젠게임 / 찬유, 杭州群游科技有限公司, Shenzhen Linzi Huyu Technology Co., Ltd., Shenzhen Shangyu Technology Co., Ltd., 深圳市九游网络科技有限公司, 泽阳 李, SHENZHEN MINIWAN TECHNOLOGY CO. LTD., Shenzhen Qian Qian Shu Yun Technology Co., Ltd.","王者荣耀, 和平精英, 金铲铲之战, 三角洲行动, 地下城与勇士：起源, 穿越火线-枪战王者, 英雄联盟手游, 火影忍者, 无畏契约：源能行动, 欢乐斗地主","Strategy, Shooter, Action, Casino, Racing, Sports, Arcade, Lifestyle, RPG, Puzzle","Strategy MOBA 전략 策略 MOBA 多人在线战术竞技 전략 / MOBA · 策略 / 多人在线战术竞技 · Strategy / MOBA, Shooter Battle Royale 슈팅 射击 배틀로얄 大逃杀 슈팅 / 배틀로얄 · 射击 / 大逃杀 · Shooter / Battle Royale, Strategy Auto Chess 전략 策略 오토체스 自走棋 전략 / 오토체스 · 策略 / 自走棋 · Strategy / Auto Chess, Shooter FPS / 3PS 슈팅 射击 FPS/TPS 第一/第三人称射击 슈팅 / FPS/TPS · 射击 / 第一/第三人称射击 · Shooter / FPS / 3PS, Action Beat 'em Up 액션 动作 벨트스크롤 액션 清版动作 액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up, Casino Landlord 카지노 博彩/棋牌 도우디주/랜드로드 斗地主 카지노 / 도우디주/랜드로드 · 博彩/棋牌 / 斗地主 · Casino / Landlord, Racing Kart Racing 레이싱 竞速 카트 레이싱 卡丁车 레이싱 / 카트 레이싱 · 竞速 / 卡丁车 · Racing / Kart Racing, Sports Realistic Sports 스포츠 体育 리얼 스포츠 拟真体育 스포츠 / 리얼 스포츠 · 体育 / 拟真体育 · Sports / Realistic Sports, Arcade Music / Rhythm 아케이드 街机 음악/리듬 音乐/节奏 아케이드 / 음악/리듬 · 街机 / 音乐/节奏 · Arcade / Music / Rhythm, Casino Mahjong 카지노 博彩/棋牌 마작 麻将 카지노 / 마작 · 博彩/棋牌 / 麻将 · Casino / Mahjong",114.0579,22.5431,True
Shanghai,상하이,China,140,331,1063734215.58,1489227901.812,2025 중국 iOS+AOS 추정 순매출,64379364,"上海青笛科技有限公司 / 상하이 칭디, 上海米哈游影铁科技有限公司 / 미호요 잉티에, 上海幻电信息科技有限公司 / 비리비리 게임즈 / 환뎬, 上海鹰角网络科技有限公司 / 하이퍼그리프 / 잉자오, 上海巨人网络科技有限公司 / 자이언트 네트워크, 心动网络股份有限公司 / 신동 네트워크 / XD, 上海沐瞳科技有限公司 / 문톤 / 무퉁, 江苏凤凰电子音像出版社有限公司, 上海乐钻科技有限公司 / 상하이 러쭌, 上海世熠网络科技有限公司 / 상하이 스이","无尽冬日, 原神·空月之歌, 崩坏：星穹铁道, 三国：谋定天下, 明日方舟, 超自然行动组, 绝区零, 心动小镇, 潮汐守望者, 球球大作战","Strategy, RPG, Action, Simulation, Arcade, Casino, Lifestyle, Shooter, Puzzle, Tabletop","Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, RPG Open World Adventure RPG/역할수행 角色扮演 오픈월드 어드벤처 开放世界冒险 RPG/역할수행 / 오픈월드 어드벤처 · 角色扮演 / 开放世界冒险 · RPG / Open World Adventure, RPG Turn-based RPG RPG/역할수행 角色扮演 턴제 RPG 回合制RPG RPG/역할수행 / 턴제 RPG · 角色扮演 / 回合制RPG · RPG / Turn-based RPG, Strategy Tower Defense 전략 策略 타워디펜스 塔防 전략 / 타워디펜스 · 策略 / 塔防 · Strategy / Tower Defense, RPG Survival RPG/역할수행 角色扮演 서바이벌 生存 RPG/역할수행 / 서바이벌 · 角色扮演 / 生存 · RPG / Survival, Action Hack and Slash 액션 动作 핵앤슬래시 砍杀 액션 / 핵앤슬래시 · 动作 / 砍杀 · Action / Hack and Slash, Simulation Avatar Life 시뮬레이션 模拟经营 아바타 라이프 虚拟形象生活 시뮬레이션 / 아바타 라이프 · 模拟经营 / 虚拟形象生活 · Simulation / Avatar Life, Arcade .io 아케이드 街机 IO 캐주얼 IO游戏 아케이드 / IO 캐주얼 · 街机 / IO游戏 · Arcade / .io, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, Casino Fish Shooting 카지노 博彩/棋牌 피쉬 슈팅 捕鱼 카지노 / 피쉬 슈팅 · 博彩/棋牌 / 捕鱼 · Casino / Fish Shooting",121.4737,31.2304,True
Hangzhou,항저우,China,42,158,1011728173.92,1416419443.488,2025 중국 iOS+AOS 추정 순매출,70024138,"杭州网易雷火科技有限公司 / 넷이즈 레이훠, 杭州游卡网络技术有限公司 / 요카게임즈 / 유카, 杭州炎魂网络科技有限公司, Hangzhou Qisheng Networking Technology Co.,Ltd., Hangzhou Lanjing Network Technology Co., Ltd., Hangzhou Xuanming Network Technology Co.,Ltd., Hangzhou Mention Network Technology Co., Ltd., Hangzhou Electronic Soul Network Technology Co., Ltd., Hangzhou Feibixunchang Technology Co., Ltd., 杭州开启网络科技有限公司","梦幻西游, 蛋仔派对, 第五人格, 燕云十六声, 逆水寒, 三国杀, 光·遇, 率土之滨, 实况足球, 永劫无间","RPG, Arcade, Action, Strategy, Sports, Shooter, Lifestyle, Racing, Casino, Puzzle","RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, Arcade Party Royale 아케이드 街机 파티 로얄 派对竞技 아케이드 / 파티 로얄 · 街机 / 派对竞技 · Arcade / Party Royale, Action Asymmetric Battle 액션 动作 비대칭 대전 非对称竞技 액션 / 비대칭 대전 · 动作 / 非对称竞技 · Action / Asymmetric Battle, RPG Open World Adventure RPG/역할수행 角色扮演 오픈월드 어드벤처 开放世界冒险 RPG/역할수행 / 오픈월드 어드벤처 · 角色扮演 / 开放世界冒险 · RPG / Open World Adventure, Strategy Card Battler 전략 策略 카드 배틀 卡牌对战 전략 / 카드 배틀 · 策略 / 卡牌对战 · Strategy / Card Battler, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, Sports Realistic Sports 스포츠 体育 리얼 스포츠 拟真体育 스포츠 / 리얼 스포츠 · 体育 / 拟真体育 · Sports / Realistic Sports, Shooter Battle Royale 슈팅 射击 배틀로얄 大逃杀 슈팅 / 배틀로얄 · 射击 / 大逃杀 · Shooter / Battle Royale, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG, Lifestyle Interactive Story 라이프스타일 生活方式 인터랙티브 스토리 互动剧情 라이프스타일 / 인터랙티브 스토리 · 生活方式 / 互动剧情 · Lifestyle / Interactive Story",120.1551,30.2741,True
Unknown,미상,China,256,612,768848321.9399999,1076387650.7159998,2025 중국 iOS+AOS 추정 순매출,68635383,"上海叠纸互娱网络科技有限公司 / 디에즈 / 페이퍼게임즈, 在线途游（北京）科技有限公司 / 투요우, 广州灵犀互动娱乐有限公司 / 링시게임즈, 香港酷加软件有限公司 / 쿨플러스, 深蓝互动 / 블루포치 / 선란후둥, 芜湖享游网络技术有限公司 / 우후 샹유, 望尘科技 / 갈라스포츠 / 왕천, Microfun Cookie Limited, MicroFun Co., Ltd., iDreamSky Technology Limited","恋与深空, 捕鱼大作战-街机打鱼游戏王者, 三国志·战略版, 途游斗地主（比赛版）, 途游休闲捕鱼-百万倍街机王者大作战, 鱼乐达人-王者捕鱼电玩街机打鱼游戏, 无限暖暖, 重返未来：1999, 命运-冠位指定（Fate/Grand Order）, 如鸢","Lifestyle, Casino, Strategy, RPG, Action, Sports, Puzzle, Shooter, Arcade, Simulation","Lifestyle Interactive Story 라이프스타일 生活方式 인터랙티브 스토리 互动剧情 라이프스타일 / 인터랙티브 스토리 · 生活方式 / 互动剧情 · Lifestyle / Interactive Story, Casino Fish Shooting 카지노 博彩/棋牌 피쉬 슈팅 捕鱼 카지노 / 피쉬 슈팅 · 博彩/棋牌 / 捕鱼 · Casino / Fish Shooting, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, Casino Landlord 카지노 博彩/棋牌 도우디주/랜드로드 斗地主 카지노 / 도우디주/랜드로드 · 博彩/棋牌 / 斗地主 · Casino / Landlord, RPG Open World Adventure RPG/역할수행 角色扮演 오픈월드 어드벤처 开放世界冒险 RPG/역할수행 / 오픈월드 어드벤처 · 角色扮演 / 开放世界冒险 · RPG / Open World Adventure, RPG Turn-based RPG RPG/역할수행 角色扮演 턴제 RPG 回合制RPG RPG/역할수행 / 턴제 RPG · 角色扮演 / 回合制RPG · RPG / Turn-based RPG, Strategy Empire Simulation 전략 策略 제국 시뮬레이션 帝国模拟 전략 / 제국 시뮬레이션 · 策略 / 帝国模拟 · Strategy / Empire Simulation, Lifestyle Customization 라이프스타일 生活方式 커스터마이징 换装/定制 라이프스타일 / 커스터마이징 · 生活方式 / 换装/定制 · Lifestyle / Customization, Action Shoot 'em Up 액션 动作 탄막 슈팅 飞行射击 액션 / 탄막 슈팅 · 动作 / 飞行射击 · Action / Shoot 'em Up, Sports Realistic Sports 스포츠 体育 리얼 스포츠 拟真体育 스포츠 / 리얼 스포츠 · 体育 / 拟真体育 · Sports / Realistic Sports",103.8343,36.0611,False
Beijing,베이징,China,77,154,375578169.89,525809437.84599996,2025 중국 iOS+AOS 추정 순매출,45492406,"乐元素科技（北京）股份有限公司 / 해피엘리먼츠 / 러위안쑤, 竞技世界（北京）网络技术有限公司 / JJ월드 / 징지스제, 优酷盛世科技（北京）有限公司 / 요우쿠 성스, 北京朋趣科技有限公司 / 베이징 펑취, 北京唯我乐园信息技术有限公司 / 베이징 웨이워러위안, Beijing Rivergame Technology Co., Ltd., 北京朝夕光年信息技术有限公司 / 누버스 / 자오시광녠, Beijing Kai Luo Tian Xia Technology Co., Ltd., 北京儒意景秀网络科技有限公司 / 루이징슈, Beijing Guanyou Gamespace Digital Technology Co., Ltd.","开心消消乐®, JJ斗地主-欢乐棋牌休闲合集, 捕鱼大咖-畅爽3D街机捕鱼游戏, 多乐够级, 梦幻花园 - Gardenscapes, Top War: Battle Game, 梦幻家园 - Homescapes, 梦想城镇 - Township, 航海王热血航线-正版授权, 晶核","Puzzle, Casino, Tabletop, Strategy, Simulation, RPG, Arcade, Action, Shooter, Sports","Puzzle Match Swap 퍼즐 益智 스왑 매치3 交换消除 퍼즐 / 스왑 매치3 · 益智 / 交换消除 · Puzzle / Match Swap, Casino Landlord 카지노 博彩/棋牌 도우디주/랜드로드 斗地主 카지노 / 도우디주/랜드로드 · 博彩/棋牌 / 斗地主 · Casino / Landlord, Casino Fish Shooting 카지노 博彩/棋牌 피쉬 슈팅 捕鱼 카지노 / 피쉬 슈팅 · 博彩/棋牌 / 捕鱼 · Casino / Fish Shooting, Tabletop Tabletop Cards 보드/테이블탑 桌游 테이블탑 카드 桌面卡牌 보드/테이블탑 / 테이블탑 카드 · 桌游 / 桌面卡牌 · Tabletop / Tabletop Cards, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, Simulation Tycoon / Crafting 시뮬레이션 模拟经营 타이쿤/제작 大亨/制作 시뮬레이션 / 타이쿤/제작 · 模拟经营 / 大亨/制作 · Simulation / Tycoon / Crafting, RPG Action RPG RPG/역할수행 角色扮演 액션 RPG 动作RPG RPG/역할수행 / 액션 RPG · 角色扮演 / 动作RPG · RPG / Action RPG, Arcade Music / Rhythm 아케이드 街机 음악/리듬 音乐/节奏 아케이드 / 음악/리듬 · 街机 / 音乐/节奏 · Arcade / Music / Rhythm, Strategy Tower Defense 전략 策略 타워디펜스 塔防 전략 / 타워디펜스 · 策略 / 塔防 · Strategy / Tower Defense, Action Hack and Slash 액션 动作 핵앤슬래시 砍杀 액션 / 핵앤슬래시 · 动作 / 砍杀 · Action / Hack and Slash",116.4074,39.9042,True
Hainan,하이난,China,38,62,136558034.36,191181248.104,2025 중국 iOS+AOS 추정 순매출,7681608,"海南盛昌网络科技有限公司 / 하이난 성창, Hainan Palm Entertainment Technology Co.,Ltd., Hainan Shengzhe Network Technology Co., Ltd., Hainan Seasun Entertainment Co., Ltd, 湖北省扬子江影音有限责任公司, Hainan Golden Chess Entertainment Technology Co., Ltd., HasuHasu Co.,Ltd., Hainan Shangxuan Network Technology Co., Ltd., 深圳中青宝互动网络股份有限公司, Hainan Wanyou Network Technology Co.,Ltd.","向僵尸开炮-尸潮来袭, 海王捕鱼-官方版, 超能世界, 尘白禁区, 迷你枪战精英, 魔域手游-官方正版授权, 剑侠世界：起源, 剑侠世界3, MuseDash, 叫我大掌柜","Strategy, Casino, RPG, Shooter, Arcade, Simulation, Action, Tabletop, Puzzle","Strategy Tower Defense 전략 策略 타워디펜스 塔防 전략 / 타워디펜스 · 策略 / 塔防 · Strategy / Tower Defense, Casino Fish Shooting 카지노 博彩/棋牌 피쉬 슈팅 捕鱼 카지노 / 피쉬 슈팅 · 博彩/棋牌 / 捕鱼 · Casino / Fish Shooting, RPG Idle RPG RPG/역할수행 角色扮演 방치형 RPG 放置RPG RPG/역할수행 / 방치형 RPG · 角色扮演 / 放置RPG · RPG / Idle RPG, Shooter FPS / 3PS 슈팅 射击 FPS/TPS 第一/第三人称射击 슈팅 / FPS/TPS · 射击 / 第一/第三人称射击 · Shooter / FPS / 3PS, RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, Arcade Music / Rhythm 아케이드 街机 음악/리듬 音乐/节奏 아케이드 / 음악/리듬 · 街机 / 音乐/节奏 · Arcade / Music / Rhythm, Simulation Tycoon / Crafting 시뮬레이션 模拟经营 타이쿤/제작 大亨/制作 시뮬레이션 / 타이쿤/제작 · 模拟经营 / 大亨/制作 · Simulation / Tycoon / Crafting, Action Shoot 'em Up 액션 动作 탄막 슈팅 飞行射击 액션 / 탄막 슈팅 · 动作 / 飞行射击 · Action / Shoot 'em Up, Tabletop Board 보드/테이블탑 桌游 보드게임 棋盘游戏 보드/테이블탑 / 보드게임 · 桌游 / 棋盘游戏 · Tabletop / Board, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy",110.3312,20.031,False
Guangzhou,광저우,China,47,80,128885355.45,180439497.63,2025 중국 iOS+AOS 추정 순매출,7711257,"广州多益网络股份有限公司 / 두오이 네트워크, 广州库洛科技有限公司 / 쿠로게임즈, Guangzhou Mengqu Information Technology Co., Ltd., Guangzhou NetEase Computer System Co.Ltd, Guangzhou Qiji Information Technology Co., Ltd., Guangzhou Zhongxu Shuke Information Technology Co., Ltd, Guangzhou Tianzong Information Technology Co., Ltd, Guangzhou Tianti Network Technology Co., Ltd., 广州四三九九信息科技有限公司, Guangzhou Aiyou Network technology Co.,ltd","幻唐志：逍遥外传, 鸣潮, 长安幻想, 云•鸣潮, 战双帕弥什, 永夜降临：复苏, 梦幻西游网页版, 雷霆小分队-俯视角吃鸡, 野兽领主：新世界, 斗罗大陆：史莱克学院","RPG, Action, Shooter, Strategy, Simulation, Casino, Lifestyle, Arcade, Sports, Puzzle","RPG MMORPG RPG/역할수행 角色扮演 MMORPG 大型多人在线RPG RPG/역할수행 / MMORPG · 角色扮演 / 大型多人在线RPG · RPG / MMORPG, RPG Open World Adventure RPG/역할수행 角色扮演 오픈월드 어드벤처 开放世界冒险 RPG/역할수행 / 오픈월드 어드벤처 · 角色扮演 / 开放世界冒险 · RPG / Open World Adventure, Action Hack and Slash 액션 动作 핵앤슬래시 砍杀 액션 / 핵앤슬래시 · 动作 / 砍杀 · Action / Hack and Slash, RPG Squad RPG RPG/역할수행 角色扮演 스쿼드 RPG 小队RPG RPG/역할수행 / 스쿼드 RPG · 角色扮演 / 小队RPG · RPG / Squad RPG, Shooter Battle Royale 슈팅 射击 배틀로얄 大逃杀 슈팅 / 배틀로얄 · 射击 / 大逃杀 · Shooter / Battle Royale, Strategy 4X Strategy 전략 策略 4X 전략 4X策略 전략 / 4X 전략 · 策略 / 4X策略 · Strategy / 4X Strategy, RPG Idle RPG RPG/역할수행 角色扮演 방치형 RPG 放置RPG RPG/역할수행 / 방치형 RPG · 角色扮演 / 放置RPG · RPG / Idle RPG, Strategy Tower Defense 전략 策略 타워디펜스 塔防 전략 / 타워디펜스 · 策略 / 塔防 · Strategy / Tower Defense, Simulation Avatar Life 시뮬레이션 模拟经营 아바타 라이프 虚拟形象生活 시뮬레이션 / 아바타 라이프 · 模拟经营 / 虚拟形象生活 · Simulation / Avatar Life, Action Beat 'em Up 액션 动作 벨트스크롤 액션 清版动作 액션 / 벨트스크롤 액션 · 动作 / 清版动作 · Action / Beat 'em Up",113.2644,23.1291,True
